n,Yaw,Pitch,Roll,Lift,Drag,Side
100,30.821939999999998,-0.8726,-0.01573,-1.99045,2.7092,0.602
101,30.821939999999998,-0.8726,-0.01573,-2.38854,3.2510399999999997,0.602
102,30.821939999999998,-0.8726,-0.01573,-2.38854,3.2510399999999997,0.61909
103,30.821939999999998,-0.8726,-0.01573,-2.38854,3.2510399999999997,0.602
104,30.821939999999998,-0.8726,-0.01573,-2.38854,3.2510399999999997,0.602
105,30.821939999999998,-0.8726,-0.01573,-2.38854,3.2510399999999997,0.602
106,30.821939999999998,-0.8726,-0.01573,-2.38854,3.2510399999999997,0.602
107,30.821939999999998,-0.8726,-0.01573,-2.38854,3.2510399999999997,0.602
108,30.821939999999998,-0.8726,-0.01573,-2.38854,3.2510399999999997,0.602
109,30.821939999999998,-0.8726,0.0,-2.38854,3.2510399999999997,0.602
110,30.821939999999998,-0.8726,-0.01573,-2.38854,3.2510399999999997,0.602
111,30.821939999999998,-0.8726,-0.01573,-2.38854,3.2510399999999997,0.602
112,30.821939999999998,-0.8726,-0.01573,-2.38854,3.2510399999999997,0.602
113,30.821939999999998,-0.8726,-0.01573,-2.38854,3.2510399999999997,0.602
114,34.2466,-0.8726,-0.01573,-2.38854,3.2510399999999997,0.602
115,34.2466,-0.8726,-0.01573,-1.99045,2.622,0.61909
116,34.2466,-0.8726,-0.01573,-1.59236,2.06272,0.61909
117,44.520579999999995,6.9808,-0.01573,-5.97135,8.110159999999999,-4.816
118,58.21922,7.853400000000001,-0.01573,-6.36944,8.66944,-5.418
119,65.06854,7.853400000000001,-0.03146,-8.75798,11.99024,-5.418
120,71.91785999999999,18.3246,-0.20449,-29.06057,39.449679999999994,-12.642
121,71.91785999999999,12.2164,-0.12584,-15.12742,20.64224,-8.427999999999999
122,71.91785999999999,5.2356,-0.04719,-9.95225,13.737839999999998,-3.612
123,71.91785999999999,5.2356,-0.04719,-9.95225,13.7204,-3.612
124,71.91785999999999,5.2356,-0.04719,-9.95225,13.7204,-3.612
125,71.91785999999999,5.2356,-0.04719,-9.95225,13.7204,-3.612
126,71.91785999999999,5.2356,-0.09438,-9.95225,13.737839999999998,-3.612
